Unnamed: 0,productid,imageid,description_clean_length_tokens,description_dedup_length_tokens,removed_words,removed_chars
69729,4189641860,1311754284,1476,952,524,2636
78212,4105271973,1291932883,1472,948,524,2636
29716,3997828367,1274279776,926,462,464,2611
84761,3957838853,1269478815,908,412,496,2602
84659,4012661979,1276309272,1084,625,459,2600
20721,4197552597,1313700325,1348,837,511,2583
8903,3604821708,1226903975,805,325,480,2578
83652,4012724165,1276311689,1090,614,476,2571
57387,4145174161,1300195943,935,473,462,2571
2742,4168967255,1306607980,794,326,468,2554
84146,4181946215,1309987033,1030,568,462,2552
42011,4197544123,1313657920,1050,535,515,2550
80484,4235888271,1324019799,1061,606,455,2541
66651,4108559534,1292729507,770,298,472,2538
49687,3992471706,1273021732,988,506,482,2535
942,4205114468,1315408862,776,312,464,2524
9497,4143423159,1299832613,839,401,438,2515
49856,3995598893,1273907992,839,401,438,2515
7361,3813211974,1247760182,991,523,468,2512
55083,3893280926,1260320583,950,488,462,2500
5353,4177785581,1308734858,916,452,464,2500
4872,4037572990,1279006389,772,310,462,2496
33440,4078699238,1287487147,1367,859,508,2491
5143,4023206297,1277884254,773,352,421,2478
76193,4010224358,1276024911,917,506,411,2474
43493,4182119402,1311070779,916,424,492,2469
21449,4058286276,1282834189,799,346,453,2468
33099,3959449353,1269541596,980,522,458,2462
39239,3959446957,1269525413,981,523,458,2462
44291,3775259341,1243714961,981,523,458,2462
56059,4041456966,1279761381,873,446,427,2424
36351,3940022747,1266909411,774,334,440,2416
83252,3995366746,1273992369,774,334,440,2416
21278,3563522731,1221456835,689,207,482,2412
81228,3992471902,1273023606,1119,657,462,2412
43594,4006902447,1275636092,984,576,408,2369
56846,4145102496,1300146783,758,322,436,2366
41731,4211319224,1316962196,885,454,431,2363
3518,4023033746,1277729603,934,495,439,2360
27344,4088657838,1289563824,938,499,439,2360
49504,4145174371,1300201362,898,526,372,2329
3520,3945013236,1267989728,753,317,436,2314
62476,4006490478,1275500895,916,502,414,2308
17700,4017685304,1285875073,710,300,410,2296
6544,3971768411,1270654626,847,416,431,2272
21310,4202304659,1314554297,1033,621,412,2261
62114,3976921166,1271450483,1011,611,400,2227
54567,3868423153,1255382254,710,326,384,2212
75512,3969772772,1270212660,711,311,400,2206
4384,4037924793,1279397955,696,324,372,2192
42948,3889373017,1260077068,696,324,372,2192
52088,4227460778,1321686865,1079,702,377,2172
74955,3879890595,1257230395,674,302,372,2172
33536,4050297798,1281195518,778,407,371,2147
16320,3842787358,1251488396,824,439,385,2125
21237,3842785887,1251482365,806,436,370,2125
3984,3879898500,1257244609,735,353,382,2118
73397,4093215760,1290411547,817,439,378,2098
5373,4017685504,1285875838,961,579,382,2096
48666,3748207396,1240730047,969,578,391,2095
51551,3959929922,1269571500,699,327,372,2084
24906,4114275637,1292874556,862,499,363,2055
4640,4052948317,1281738733,818,458,360,2046
65312,3856810004,1253466329,973,613,360,2040
59806,4050842254,1281770154,698,338,360,2034
25222,3866915294,1254933384,663,305,358,2030
48311,3866915122,1254929398,663,305,358,2030
10104,4231695612,1323296159,716,382,334,2026
61112,3837260930,1251139293,525,149,376,2002
58340,4061615814,1283817584,1073,714,359,1992
47690,4187115310,1311393501,650,294,356,1980
14532,4006519555,1275671944,820,478,342,1980
8225,4189094870,1312034794,789,412,377,1970
20319,4041456187,1279755546,679,317,362,1968
16440,3604829274,1227019573,669,313,356,1968
66156,3990165410,1272776140,916,574,342,1968
50328,3607250774,1227163050,720,379,341,1963
23488,4182108548,1310815717,752,441,311,1962
22977,4079552522,1287907092,678,302,376,1960
78689,4037572976,1279006271,755,395,360,1955
12964,4052948346,1281739262,664,316,348,1952
81287,4052948347,1281739288,667,319,348,1952
24205,4012662249,1276312569,777,447,330,1941
46726,4231696960,1323320915,666,320,346,1940
49421,4231696958,1323320855,666,320,346,1940
11110,3861757958,1254400085,645,324,321,1936
58642,4218265248,1319021681,764,396,368,1924
39242,3944992988,1267983102,1010,661,349,1923
71576,3905806813,1262183794,703,391,312,1904
75265,3854441526,1253164464,516,160,356,1904
80081,4058944052,1282770493,912,604,308,1896
56069,4041957030,1279852373,1012,674,338,1890
35155,3883414875,1258042857,678,334,344,1890
28512,4187121114,1311426780,907,602,305,1884
39687,4017680719,1285863661,996,654,342,1866
76939,3861227383,1254536239,854,542,312,1860
65442,4137060892,1297777107,913,544,369,1851
70950,4202301955,1314391034,925,622,303,1843
2786,3954527903,1268876906,701,390,311,1830
67744,4231695610,1323296106,658,353,305,1828
26750,4209054541,1316353103,897,567,330,1824
36296,4209054528,1316353066,897,567,330,1824
50242,4184607671,1310861670,915,574,341,1819
7169,3844582905,1251804518,714,390,324,1817
80061,3549458703,1220593874,672,349,323,1815
22088,4065772041,1284782599,983,657,326,1794
78680,3575765019,1222865227,776,465,311,1794
58527,4085981067,1289144763,868,548,320,1793
21703,3951732304,1268672081,866,546,320,1793
73170,4087653756,1289550786,667,329,338,1788
41036,4087672836,1289765486,776,452,324,1778
2532,3972427474,1270607735,624,292,332,1772
50611,3895282223,1260710670,611,293,318,1762
14301,4006492242,1275533101,825,479,346,1760
55084,3951725186,1268515759,780,461,319,1751
63097,3879903211,1257269027,750,406,344,1750
45674,4006491592,1275521746,780,461,319,1745
55192,4151001284,1301630394,772,459,313,1742
30634,3842663401,1251441500,596,298,298,1742
71091,4055588288,1282167843,554,196,358,1728
77160,4202305109,1314572313,772,465,307,1724
30550,3957819456,1269449454,759,440,319,1722
3946,3866827090,1254942119,677,375,302,1717
82570,4139329975,1298387838,618,310,308,1706
49335,4202304454,1314539141,670,371,299,1703
47732,4017756628,1276998609,636,330,306,1700
37864,4188948681,1311730212,694,378,316,1698
2941,4188951229,1311770330,688,372,316,1698
13736,4181956742,1310064956,904,602,302,1690
21010,4085965032,1289091595,920,627,293,1687
70725,4216251998,1318669102,804,558,246,1682
55927,3974746913,1270983923,1151,812,339,1671
66942,4211206382,1317824624,1089,784,305,1671
27039,4188909726,1311703963,675,367,308,1652
44937,3972430541,1270651070,955,642,313,1648
41003,4006518844,1275668454,838,561,277,1620
56540,3842662612,1251437248,483,197,286,1604
73905,3972162655,1270601897,609,315,294,1598
462,3861763036,1254492326,594,310,284,1596
68281,4170895631,1307504511,915,622,293,1595
65102,4171236367,1307376160,591,315,276,1584
48260,4012662474,1276315264,633,351,282,1584
35200,4179728981,1309675281,615,341,274,1583
78234,4012724247,1276314554,776,482,294,1574
65482,4078699361,1287487446,627,335,292,1556
70937,4145173823,1300192542,632,326,306,1556
40012,4224639262,1320678417,636,330,306,1552
49997,4231420286,1323468482,736,456,280,1522
3454,4108904914,1292800156,737,461,276,1516
4029,4212779440,1317356263,554,298,256,1516
50755,3868425916,1255425792,648,380,268,1515
24031,4086094075,1289356814,648,380,268,1515
61589,3883427138,1258358859,555,277,278,1514
54956,4232367929,1324031404,729,457,272,1504
59581,4197670842,1313399613,663,405,258,1500
9074,3937634680,1266214539,423,155,268,1492
63421,4193588182,1312148260,414,152,262,1484
9083,4012661016,1276296297,743,485,258,1480
38767,3972162678,1270603203,731,479,252,1480
11404,3871090854,1255749049,520,262,258,1472
65604,4177866970,1308895390,674,478,196,1465
33442,4145469297,1300261206,942,704,238,1452
323,3990163204,1272746736,609,349,260,1452
73663,4150996869,1301531585,513,281,232,1440
23799,4231412891,1323314163,833,578,255,1428
17712,3906639984,1262356587,634,406,228,1422
49875,3727588298,1238299214,794,557,237,1420
53862,4086136552,1289504084,580,316,264,1412
28242,4057543476,1282537572,533,303,230,1412
29356,4044816992,1280387906,371,251,120,1404
59921,4181900911,1310376978,329,229,100,1404
14607,4095058890,1290591976,584,351,233,1397
82990,3925556277,1264556024,537,293,244,1392
54522,4046437485,1280690645,539,295,244,1392
67221,4006502071,1275625790,758,535,223,1386
10208,4006510075,1275643162,759,536,223,1386
21546,4087910394,1289326046,757,534,223,1386
33465,4139508510,1298864839,942,701,241,1382
39701,3976966789,1271569804,552,308,244,1358
31508,3748206625,1240727822,552,308,244,1358
83015,4057849143,1282633656,888,673,215,1357
75240,4017682925,1285870404,542,296,246,1348
7996,3972162365,1270580434,805,560,245,1340
80705,4012870381,1276362320,533,303,230,1340
84884,4235886728,1323996639,557,321,236,1336
5495,4017759486,1277002571,626,393,233,1333
48309,3908177468,1262529860,618,392,226,1332
6412,4197675073,1313425485,542,306,236,1326
9499,4168967950,1306648280,677,434,243,1309
21395,4153309331,1302572606,920,688,232,1305
24142,4182227098,1310229988,656,432,224,1304
64528,4199252792,1313551853,509,283,226,1298
24,3748203527,1240721678,537,307,230,1292
7389,3541018123,1220215165,535,297,238,1292
13954,3995665385,1273929315,546,339,207,1273
43094,4105525635,1291991278,506,276,230,1270
68128,3868887550,1255173589,505,277,228,1268
4795,4086153227,1289697071,799,562,237,1267
46838,3813434986,1247811973,530,306,224,1266
5728,3856530363,1253502623,365,141,224,1264
68256,4233745979,1323698554,528,304,224,1264
47909,4037926972,1279430344,362,138,224,1264
59229,4116742428,1293306264,744,528,216,1259
48097,3856530361,1253502614,368,142,226,1256
58632,4050741161,1281954600,812,569,243,1255
25664,4060323935,1283117751,567,355,212,1254
49650,3727585111,1238292530,629,412,217,1254
13266,3904026961,1262082668,563,321,242,1252
8636,3831237004,1250260213,785,553,232,1248
57529,3563519978,1221446547,495,271,224,1248
18412,3971727359,1270515780,766,548,218,1247
39984,3945013549,1267993348,564,326,238,1246
75503,4019817608,1277543248,726,511,215,1244
37590,3881319201,1257402378,536,324,212,1244
36645,4095304706,1290638141,506,298,208,1238
76262,4150987819,1301493723,494,288,206,1238
1506,4194034910,1312427870,528,308,220,1224
44217,4170894626,1307469107,511,299,212,1222
1007,3881319361,1257405153,747,534,213,1221
71804,4182276909,1310790524,502,298,204,1218
1223,3881319210,1257402717,530,324,206,1218
21375,4197673317,1313416652,704,480,224,1216
21723,4139332433,1298413705,468,282,186,1216
83273,4046438154,1280696739,703,479,224,1216
35374,3976960138,1271563119,533,309,224,1202
73796,3953644077,1268779979,533,309,224,1202
71826,3976960859,1271564336,526,308,218,1194
7289,4006430718,1275502028,505,297,208,1194
65525,4149009935,1300818260,501,299,202,1190
28248,4227454262,1321639755,673,442,231,1182
35466,4150990087,1301501198,579,335,244,1180
50865,4208885953,1316162059,625,408,217,1179
16434,4177869038,1308945838,500,306,194,1174
29097,4058941477,1282756914,931,697,234,1171
72568,4046437613,1280691661,548,322,226,1170
17650,4085933018,1288987703,658,448,210,1160
75540,4012661255,1276298443,543,321,222,1160
33825,4126738253,1295450344,455,269,186,1158
34771,3842551510,1251414614,585,388,197,1143
8518,3906641177,1262364724,417,199,218,1142
15571,4199252550,1313535623,514,311,203,1142
82928,3906573222,1262282997,514,311,203,1142
32462,4037575988,1279045623,490,296,194,1134
83626,4037584595,1279178261,694,494,200,1134
68667,4116742237,1293303554,693,493,200,1134
78846,3971347131,1270343833,535,319,216,1132
77035,3879365624,1257152692,530,318,212,1118
79589,4120382975,1293736144,477,299,178,1116
71107,4007155559,1275624808,746,528,218,1116
74767,3976960134,1271563094,782,570,212,1114
79283,4017676864,1285859204,608,428,180,1110
65803,4202303403,1314482909,678,487,191,1107
18159,4070725640,1285934740,508,308,200,1104
36187,4017685330,1285875266,508,314,194,1104
50094,4086228816,1289204921,536,320,216,1100
31560,4101477580,1291294236,500,304,196,1100
84560,3974746672,1270981233,602,424,178,1100
78558,4236297820,1324197827,333,135,198,1098
10359,3862126032,1254549036,580,398,182,1092
69025,4151270934,1301716645,501,305,196,1088
66812,4179604811,1309095225,603,425,178,1088
79709,4046495413,1280708088,638,437,201,1087
77439,4042486779,1280129466,770,548,222,1075
9291,3868324438,1255121709,650,476,174,1075
58127,3906641427,1262368075,637,428,209,1072
30874,3879893138,1257256295,421,237,184,1070
16689,3879893137,1257256281,421,237,184,1070
18763,4057547207,1282559876,486,300,186,1068
8479,4019813160,1277531704,649,447,202,1066
25456,4182108472,1310807855,639,469,170,1066
57940,4057555658,1282585802,640,446,194,1058
43331,4085933484,1288996832,640,446,194,1058
10356,4179413224,1309069831,502,314,188,1056
72151,3920854035,1263692533,489,295,194,1056
50861,3995550574,1273875360,502,314,188,1056
34265,4061587525,1283605254,582,411,171,1052
82000,3974746855,1270982879,591,421,170,1044
42556,3716307730,1237278691,487,299,188,1044
59539,4195805659,1312742029,479,293,186,1038
61860,4085932329,1288963549,613,429,184,1036
60364,3989828379,1272600085,694,502,192,1035
26790,3945013742,1267996933,763,545,218,1030
42030,4181944654,1309972551,643,473,170,1029
54579,4150988094,1301496340,643,473,170,1029
23869,4139336702,1298486463,502,320,182,1012
7697,3935901535,1266164104,457,287,170,1010
12093,3879894181,1257246962,610,428,182,1002
1446,4168968014,1306654984,468,290,178,990
7938,3921180571,1263808267,457,287,170,986
27362,4017670866,1285844256,596,426,170,981
14401,3883271561,1257858661,693,529,164,980
56936,4250690318,1328617276,469,287,182,980
7280,4037576532,1279054687,581,410,171,975
23327,4058572477,1282754982,581,410,171,975
64321,4058574080,1282776512,581,410,171,975
28969,4037576538,1279054752,581,410,171,975
53822,4017665707,1285838442,612,453,159,969
77788,4126738146,1295444525,412,260,152,968
12686,3879890359,1257231536,570,425,145,966
7255,3974251483,1270853341,437,279,158,960
38367,3866911946,1254869465,620,462,158,956
10242,3861790517,1254546595,606,448,158,956
8880,4209057389,1316355549,620,462,158,956
80893,3866827144,1254942776,605,447,158,956
44131,4182108521,1310812637,465,297,168,954
69494,4184550334,1310918895,726,526,200,951
80684,3942319235,1267324018,474,304,170,950
46207,4023546488,1277569558,260,106,154,950
35275,4050298152,1281199757,456,292,164,948
9131,4231691899,1323289464,441,279,162,946
60771,4200102611,1313725369,452,280,172,946
13902,4150996519,1301526152,455,281,174,946
49076,4193880669,1312224355,452,280,172,946
71987,4013273957,1276436764,624,468,156,945
59155,4086151526,1289676849,690,512,178,944
13975,3789529050,1245172853,730,552,178,944
15083,4086222055,1289175423,690,512,178,944
20161,3944551953,1268072025,690,512,178,944
4312,4046437467,1280690541,635,447,188,944
31399,4189093106,1312024243,690,512,178,944
53967,4058944639,1282773879,636,448,188,944
4028,4213442177,1317755028,690,512,178,944
83679,4086225128,1289186708,690,512,178,944
18802,3836736620,1250941381,660,490,170,939
66579,3883447617,1258438325,466,298,168,938
68828,4213248930,1317479449,646,479,167,936
17791,4150999269,1301557918,308,134,174,934
50321,4209068978,1316536366,474,302,172,932
60412,4012870279,1276361666,776,612,164,930
1575,3881319961,1257416823,466,304,162,926
17769,3881319780,1257414095,462,300,162,926
24010,3868889450,1255210439,472,310,162,926
7393,3881319986,1257418081,462,300,162,926
71778,3881319630,1257411377,462,300,162,926
76699,3850036061,1252659364,818,634,184,926
79605,3881319440,1257407740,462,300,162,926
12677,3881319624,1257411126,466,304,162,926
28979,3881319436,1257407520,462,300,162,926
10946,4182274930,1310755373,584,426,158,924
54989,3992784123,1273745623,809,625,184,922
22138,3992784075,1273745456,809,625,184,922
34050,4181902864,1311080024,453,287,166,920
60765,4211319378,1316966536,796,631,165,919
46110,4071963978,1286015718,466,306,160,918
12405,4010222090,1276005021,458,284,174,918
37862,4150479026,1301074424,737,567,170,916
11219,3893246402,1260404339,455,287,168,914
62226,4050744623,1281974267,459,287,172,910
54751,4017682279,1285868587,441,287,154,908
44040,3992802971,1273769140,617,451,166,906
41553,4116742177,1293301944,430,274,156,906
73452,3992802105,1273767101,613,447,166,906
62845,4211699744,1317080337,438,280,158,894
35962,4211714381,1317241007,439,281,158,894
51294,4006535298,1275691634,453,285,168,892
3793,4076596289,1287506538,437,271,166,890
53331,4053878642,1282008975,422,264,158,888
81377,3837116757,1251093384,435,275,160,888
61943,4153230622,1301915565,647,489,158,888
10536,3881320310,1257425033,633,472,161,888
38299,4026082767,1277782046,375,214,161,888
65373,3971759477,1270626993,436,276,160,886
9508,4045105213,1280524968,441,283,158,886
69008,4019799691,1277508327,619,441,178,882
2538,3842787433,1251488927,646,487,159,881
42504,3883965627,1258189041,538,377,161,879
66349,4139337226,1298501155,436,290,146,874
71102,4015982505,1276718373,436,286,150,866
42023,3881319750,1257412081,425,273,152,864
66612,4063205051,1283926911,649,487,162,862
42649,3881319597,1257409926,424,272,152,862
67324,3881319812,1257416004,424,272,152,862
45619,3992785381,1273751118,477,307,170,858
75266,4019800501,1277513841,429,277,152,854
42776,4006492239,1275532976,643,483,160,854
54651,4151000312,1301600316,623,471,152,853
38431,4007155531,1275623997,487,321,166,848
69789,4150997026,1301533286,1018,866,152,848
40459,4086137916,1289541541,675,504,171,846
20308,3971369377,1270347022,470,306,164,840
34123,3609724518,1227456610,416,276,140,840
19676,4101477003,1291288715,506,324,182,838
68523,4141675837,1299287791,514,332,182,838
76571,4058578291,1282809266,399,257,142,836
46454,3708920399,1236514009,530,378,152,836
2336,4153278685,1302247869,446,284,162,832
74710,4145102218,1300141135,440,288,152,832
76568,4057634880,1282538294,744,588,156,832
70353,4231688780,1323271332,437,283,154,830
62736,4139506715,1298803043,440,274,166,828
6799,3898729106,1261427918,406,274,132,826
3546,4150448789,1301071060,578,415,163,826
69037,4022757148,1277563757,413,263,150,826
57306,3885602285,1258496573,504,364,140,818
23121,4150995198,1301517834,246,112,134,818
29488,4044743415,1280384675,554,413,141,814
47292,3881729757,1257729907,437,287,150,812
463,3955091608,1269068835,424,278,146,810
64776,4209050681,1316282996,429,295,134,802
54508,3607250609,1227162105,427,287,140,800
37139,4229980007,1322496013,440,300,140,800
41934,3866982901,1254914376,611,455,156,799
83745,4101477448,1291293165,517,373,144,795
29194,3727586662,1238295546,397,267,130,790
80825,4071964241,1286024136,444,304,140,790
23052,3976952320,1271556475,397,267,130,790
38481,3920854095,1263694646,413,283,130,790
71004,3942319346,1267327678,421,275,146,786
63529,3971759549,1270627788,421,275,146,786
21711,3894930089,1260282418,275,133,142,782
39296,3894930077,1260282137,275,133,142,782
60022,4071964229,1286023675,444,304,140,782
42574,3894926517,1260248313,275,133,142,782
36236,3861760888,1254461814,598,458,140,781
5187,4184608905,1310880431,434,290,144,780
41608,4236041980,1324087259,258,116,142,780
51482,4056049374,1282338326,441,301,140,778
46930,4015618237,1276696487,382,270,112,776
23294,4195543081,1312601196,382,270,112,776
19434,3748207430,1240730182,581,449,132,774
36361,4061482253,1283578212,568,420,148,774
78276,4079556254,1288093588,564,416,148,774
39607,4061479557,1283523097,571,423,148,774
25758,3625451058,1229588240,590,452,138,773
9841,3935695532,1265927749,508,381,127,766
8751,4017685167,1285873843,583,453,130,764
15646,3868887566,1255174040,508,369,139,764
80040,4195542807,1312591191,551,414,137,763
74603,3957449552,1269242822,407,269,138,762
8178,4018146309,1276989787,437,291,146,758
74601,3563517803,1221439574,580,434,146,757
17262,4179604710,1309093735,501,369,132,756
36289,4150994783,1301516784,498,386,112,753
75725,3960070746,1269627444,605,471,134,752
76669,1711736693,1100071426,664,520,144,749
33023,4012664361,1276322501,628,471,157,749
77827,4168967825,1306635690,405,271,134,742
38613,4182277763,1310804257,656,510,146,740
470,4200413922,1313873014,411,265,146,738
46359,3748204976,1240724102,221,99,122,738
48501,4010222088,1276005005,419,281,138,738
83136,3847766057,1252164134,432,292,140,738
53035,4211533176,1317224799,420,282,138,736
52164,4008680744,1275786658,459,295,164,736
42905,4006705929,1275587449,577,446,131,735
77287,4040189373,1279636939,429,283,146,734
55025,4006500271,1275606717,402,266,136,734
27828,3682506742,1233843878,581,450,131,733
29890,3979581552,1271707161,581,450,131,733
10523,4229646222,1322054763,581,450,131,733
81667,4086064811,1289160588,575,444,131,733
45062,4217948645,1318567317,578,448,130,727
41715,4052932595,1281726368,517,384,133,721
71949,4012178355,1276220838,528,406,122,720
76876,3929867801,1265195022,584,450,134,720
63381,4019812939,1277531542,381,267,114,716
37964,4057847422,1282617145,542,409,133,707
36974,4050745142,1281978880,473,372,101,704
70878,3881732885,1258318470,383,279,104,700
64594,4181950570,1310036188,561,437,124,696
41961,4197673331,1313416870,386,266,120,694
25585,4235888083,1324017457,458,360,98,687
67648,4156934499,1302905949,526,408,118,687
19631,4006531188,1275688752,392,284,108,686
43837,4213270715,1317752242,407,277,130,682
79755,4211717772,1317274795,406,276,130,682
82511,4184551616,1310943927,402,284,118,676
7129,4017666051,1285839791,575,453,122,672
31433,3908518222,1262581323,574,452,122,672
81233,4143441695,1299721622,385,271,114,670
8749,3960070666,1269626257,739,621,118,666
51371,4012664687,1276324362,572,452,120,664
80,3885602739,1258507989,465,358,107,664
10662,4012665268,1276327856,625,478,147,662
12420,4037574054,1279010866,396,276,120,662
15784,4058939995,1282752441,549,424,125,659
59488,4019812734,1277530547,363,249,114,658
75599,4234147765,1323695708,541,428,113,657
13078,4108903787,1292781167,354,226,128,656
32680,3784916407,1244666963,400,284,116,656
2791,4181901028,1310381056,506,398,108,648
70035,4236041994,1324088305,220,110,110,646
77234,4061481189,1283554395,541,415,126,644
5035,4061480564,1283548677,548,422,126,644
26319,4061479207,1283500873,549,423,126,644
43116,4061481750,1283567236,544,418,126,644
61352,4079553226,1287920978,555,429,126,644
83184,4061481754,1283567487,544,418,126,644
51097,4114276060,1292882895,325,227,98,640
81286,4060356679,1283142702,414,294,120,640
80464,4179728462,1309661009,610,492,118,640
31186,1989301856,1118916009,404,296,108,635
21708,4026079818,1277776761,298,185,113,631
33745,4145401132,1300260075,431,303,128,630
61214,4026079704,1277776636,302,189,113,627
74592,4019813958,1277534657,222,112,110,626
50176,4056049343,1282337085,405,293,112,626
5590,4042479939,1280089347,379,273,106,624
34094,4010222754,1276011644,401,275,126,624
63411,4010222753,1276011616,401,275,126,624
40327,3607250622,1227162158,378,272,106,624
80622,4231831624,1323381752,384,270,114,620
6052,4231832118,1323384625,384,270,114,620
67664,3885529346,1258619237,384,270,114,620
19000,4026080288,1277777407,292,183,109,619
17698,2200057838,1131269636,427,325,102,618
20546,4019925370,1280168106,407,287,120,618
72883,3924752413,1264227044,381,275,106,616
24951,3856809262,1253440421,393,287,106,614
30176,3816706028,1248611997,363,252,111,613
42718,4113742788,1292922031,359,249,110,612
54946,3913252451,1263006412,396,276,120,612
4204,4026079936,1277776931,284,177,107,611
72025,4026079781,1277776731,291,183,108,611
15826,4153301708,1302454903,562,452,110,610
20906,4153301674,1302453438,562,452,110,610
70830,4006886670,1275523434,562,452,110,610
70637,3997507173,1274084049,539,420,119,609
63339,4150480748,1301086087,539,420,119,609
14773,4182117113,1311027807,390,278,112,608
84100,3995345243,1273870888,475,375,100,607
47825,3995345240,1273870842,475,375,100,607
49782,3866822134,1254906261,425,325,100,605
30278,4026079777,1277776722,288,181,107,604
60250,3856249343,1253330643,407,291,116,604
63394,4026079929,1277776918,285,179,106,603
